"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_wards","algo_closest","algo_mbkmeans"
"ellipsoid.100d20c.4.dat",3.0611,2,11.51,832955.2431,839.79,1.4905,7e-04,57.55,0.2,0.213,0.1719,0.1834,2.7509,0.2439,0.4651,0.334016605529978,0.0782363937046029,0.449996963921709,0.000482909693700104,0.220531101203061,0.290025473402738,0.67156276784919,0.102518483592785,0.22286543893223
"ellipsoid.100d20c.5.dat",3.0558,2,11.37,865803.6192,842.4632,1.4154,0.0036,63.1667,0.18,0.2099,0.1628,0.1689,2.8477,0.2414,0.4713,0.369241835796946,0.170590355936848,0.490473262130948,0.00382450242252078,0.220328676617892,0.16827723349775,0.558903649855324,0.118405307095224,0.367551514456482
"ellipsoid.100d20c.6.dat",3.0508,2,11.24,961764.8584,959.5305,1.6095,0.0015,59.1579,0.19,0.2216,0.1682,0.1791,3.3372,0.2424,0.4662,0.328290614950692,0.259459809414879,0.46903804531202,0.00280805271061003,0.15635220863977,0.227626661130511,0.453022789741216,0.182947229500451,0.429740048866627
"ellipsoid.100d20c.7.dat",3.0124,2,10.29,847404.3926,775.7899,1.2343,0.0015,57.1667,0.18,0.2178,0.1747,0.1682,3.0028,0.2403,0.4728,0.380131859121261,0.215203633714425,0.536054210209766,0.00389168593444071,0.252556471312406,0.195320214569155,0.369697990122264,0.116408720834864,0.178360970842712
"ellipsoid.100d20c.8.dat",3.0056,2,10.13,855199.5914,798.8718,1.3536,0.0056,50.65,0.2,0.2177,0.1521,0.1738,3.3399,0.239,0.4712,0.324252733735691,0.106860145471276,0.548124416778463,0.00796739237051614,0.211147783017818,0.263734040699935,0.709700626389604,0.0903850654710464,0.259184787840321
"ellipsoid.100d20c.9.dat",3.0611,2,11.51,791062.3178,764.1268,1.3338,0.0041,60.5789,0.19,0.2094,0.1637,0.1654,3.1172,0.2421,0.4597,0.362895904248905,0.0741711980650753,0.505100635336168,0.008909960278482,0.224747375717426,0.178594627569147,0.436131842594298,0.120725718678182,0.225579705809616
"ellipsoid.100d40c.1.dat",3.3446,2,22.11,1566800.5039,852.954,1.4313,0.0021,67,0.33,0.1555,0.1691,0.1717,2.3748,0.259,0.439,0.268341162200981,0.0518376806735795,0.390660019139071,0.00129849019307942,0.160639355542434,0.121648059716694,0.486136009082667,0.0803582102487818,0.282382698695583
"ellipsoid.100d40c.10.dat",3.2936,2,19.66,1528353.4372,1041.2649,1.5642,0.0045,56.1714,0.35,0.1602,0.1614,0.1731,2.8868,0.2588,0.4406,0.247020545512846,0.0460109486526197,0.404726806017837,0.00173579069511932,0.138552950086914,0.109266548667727,0.370589432632378,0.0487980030364845,0.167407395791545
"ellipsoid.100d40c.2.dat",3.2767,2,18.91,1466426.3414,919.2368,1.56,0.0024,54.0286,0.35,0.148,0.1698,0.1707,2.806,0.2592,0.4329,0.210067146024782,0.0672866320641463,0.455003228538103,0.00519309706036556,0.141104416832864,0.169555036356233,0.424760890501561,0.0558758023497167,0.12813165605697
"ellipsoid.100d40c.3.dat",3.2931,2,19.64,1464508.0093,823.8236,1.3244,0.0051,57.7647,0.34,0.1589,0.1619,0.172,2.8574,0.258,0.4371,0.270855411425972,0.0451794465275547,0.472591682603285,0.00289594307803396,0.176186737889023,0.162718790192548,0.425413620584791,0.0663011608935357,0.17851151346876
"ellipsoid.100d40c.4.dat",3.3844,2,24.23,1636180.6872,942.9059,1.5701,0.0049,71.2647,0.34,0.1478,0.1635,0.1682,3.2628,0.2599,0.4368,0.233488592112218,0.0425104149716344,0.429032319974771,0.00193231275005084,0.192283170842527,0.152292709006275,0.411195563444765,0.0743806373619928,0.143291561180332
"ellipsoid.100d40c.5.dat",3.3436,2,22.06,1683029.1808,1055.9174,1.5251,0.0036,64.8824,0.34,0.1612,0.1655,0.1772,2.9429,0.2589,0.4382,0.246145034046474,0.0420618203073056,0.470458723050218,0.00164492123207741,0.158618526160916,0.145640382897668,0.410180299699535,0.0718893078849064,0.207401610925981
"ellipsoid.100d40c.6.dat",3.3589,2,22.85,1642103.8093,1034.4609,1.6267,0.0022,67.2059,0.34,0.1471,0.1722,0.1703,2.8916,0.2596,0.4324,0.219429438094747,0.0894269260515422,0.427119798324774,0.00104925433107464,0.17848411387827,0.122781321146197,0.435992777228348,0.0502518392823982,0.135639755359684
"ellipsoid.100d40c.7.dat",3.2622,2,18.29,1538422.7596,912.9014,1.4028,0.0053,53.7941,0.34,0.1523,0.1654,0.1611,2.9259,0.2569,0.4396,0.255708253716722,0.0757762188074348,0.522671302832769,0.0018149063867261,0.212889748335024,0.17536131233943,0.434136499646098,0.058384161525417,0.310514139136928
"ellipsoid.100d40c.8.dat",3.3222,2,21,1473328.1435,793.6681,1.3439,0.0021,60,0.35,0.1492,0.1725,0.1728,3.0081,0.2591,0.4363,0.184773291141146,0.0143697227548262,0.457766051587057,0.00185299985764349,0.22439809390215,0.160653212266189,0.292892681189973,0.0765978488110353,0.250225241130181
