"time_kmeans","time_kmedians","time_kmedoids","time_single","time_complete","time_average","time_wards","time_closest","time_mbkmeans"
0.01562,0.22955,0.27763,0.26257,0.16244,0.15621,0.15618,0.15621,0.03189
0,0.24217,0.2499,0.32485,0.15938,0.16869,0.17187,0.15297,0.0349
0.01562,0.25326,0.31832,0.3715,0.21545,0.20311,0.21818,0.19969,0.03889
0.01562,0.25254,0.28458,0.34072,0.24062,0.18418,0.19996,0.1783,0.0359
0,0.23198,0.30944,0.32499,0.28118,0.16811,0.20308,0.18014,0.03491
0.01562,0.22172,0.21565,0.21534,0.16536,0.13142,0.14059,0.14059,0.03189
0,0.2112,0.17184,0.18746,0.14059,0.10939,0.12497,0.10935,0.02892
0.01808,0.23141,0.27777,0.29681,0.16865,0.16861,0.18742,0.18417,0.04189
0.01431,0.23147,0.20013,0.24674,0.19703,0.14605,0.15578,0.13714,0.03089
0.02583,0.92652,1.14654,1.46602,0.93688,0.68139,0.74675,0.68415,0.09375
0.0233,0.78707,1.0988,1.47744,0.89073,0.68086,0.76852,0.69231,0.09039
0.04343,0.73689,0.71761,0.94665,0.50555,0.47155,0.46555,0.46474,0.08483
0.02234,0.77625,0.78069,1.05599,0.59219,0.54291,0.55911,0.55586,0.08876
0.01777,0.84055,0.68062,1.08716,0.7134,0.56254,0.55903,0.69662,0.11042
0.01562,0.88406,0.96187,1.1175,0.72162,0.76557,0.73088,0.80635,0.16565
0.02491,0.82458,0.81706,1.2527,0.58918,0.60275,0.62169,0.66485,0.12331
0.01562,0.8528,0.83687,1.30593,0.60401,0.60892,0.68776,0.61783,0.1137
0.03124,0.7947,0.67086,1.0403,0.48361,0.48097,0.53995,0.48127,0.10043
0.03129,0.87874,1.0138,1.58674,0.74548,0.74965,0.76478,0.72797,0.12566
0,0.06249,0.20289,0.19976,0.13739,0.12181,0.12832,0.14055,0.01995
0.01562,0.09373,0.35119,0.5194,0.33471,0.30028,0.27833,0.26561,0.02094
0,0.05852,0.16902,0.20033,0.15622,0.12501,0.10935,0.12127,0.01795
0,0.09373,0.33173,0.40852,0.24356,0.23126,0.23428,0.23092,0.02194
0.01563,0.06248,0.21614,0.23432,0.18875,0.15626,0.1406,0.1875,0.01995
0,0.01562,0.03124,0.03124,0.01003,0.01562,0.01566,0.01557,0.01397
0,0.0781,0.36958,0.40581,0.28571,0.23108,0.21553,0.21875,0.02294
0.01563,0.07593,0.27478,0.29682,0.1886,0.19971,0.18742,0.18741,0.01995
0,0.0493,0.17928,0.16695,0.10939,0.11588,0.10591,0.12139,0.01895
0,0.03124,0.07701,0.09373,0.0572,0.06249,0.06245,0.05077,0.01957
0.00199,0.06935,0.67738,0.36378,0.26584,0.25325,0.25592,0.29157,0.02294
0.00412,0.07516,0.17394,0.16964,0.11773,0.10103,0.09377,0.09377,0.04288
0,0.16089,0.36498,0.35128,0.2804,0.32357,0.23864,0.29006,0.0349
0.03124,0.30638,0.67856,0.84251,0.73989,0.64364,0.60838,0.60517,0.08078
0.03953,0.69222,1.28484,1.97087,1.44495,1.24003,1.14668,1.1827,0.1117
0.002,0.03124,0.46548,0.40282,0.28118,0.24971,0.24673,0.24174,0.01097
0.00199,0.01562,0.47565,0.39053,0.38389,0.24701,0.29346,0.26557,0.00997
0.00204,0.01562,0.44357,0.35274,0.32805,0.25321,0.23795,0.26241,0.01695
0,0.06249,0.55272,0.35929,0.26557,0.26258,0.24995,0.24282,0.01197
0,0.01562,0.44519,0.37491,0.29328,0.24673,0.24669,0.26562,0.00898
0,0.03124,0.45469,0.36853,0.27806,0.27801,0.23094,0.23432,0.00897
0,0.02819,0.52152,0.37491,0.2783,0.2531,0.25647,0.28382,0.00167
0,0.01563,0.4857,0.39983,0.26556,0.24998,0.23437,0.25184,0.01675
0,0.01561,0.49372,0.36251,0.27412,0.26234,0.24701,0.2653,0.00997
0.01566,0.03124,0.51893,0.4374,0.31946,0.26239,0.2435,0.28968,0.00798
0,0.01562,0.29368,0.13742,0.09373,0.11578,0.10935,0.09683,0.00698
0,0.01562,0.46805,0.17184,0.12501,0.11969,0.14059,0.10542,0.00598
0,0.01562,0.31243,0.15267,0.12493,0.09582,0.09373,0.09373,0.00499
0,0,0.35303,0.17183,0.12168,0.10935,0.10931,0.1136,0.00499
0,0.01562,0.42529,0.15621,0.12498,0.1718,0.09376,0.10081,0.00499
0,0.01562,0.35608,0.17184,0.12173,0.1062,0.10649,0.12501,0.00399
0,0.01562,0.34054,0.18428,0.17204,0.11783,0.10921,0.10931,0.005
0,0.01562,0.37845,0.17601,0.14063,0.09755,0.10627,0.10935,0.00399
0,0.01562,0.43494,0.16331,0.12493,0.11574,0.106,0.10935,0.00598
0,0.02379,0.43577,0.17183,0.14063,0.12497,0.10939,0.10884,0.00399
0.01563,0.0344,0.64959,0.69656,0.50872,0.52501,0.48422,0.58681,0.01895
0,0.04686,0.69069,0.67172,0.60568,0.51848,0.47476,0.72825,0.01995
0,0.04686,0.63405,0.73419,0.59052,0.49351,0.4843,0.49646,0.02094
0.0183,0.06249,0.69521,0.681,0.52771,0.48735,0.47484,0.47814,0.01895
0.00399,0.06903,0.66865,0.75242,0.59042,0.49361,0.53112,0.59028,0.02394
0.00425,0.07811,0.66572,0.72171,0.49655,0.47168,0.50601,0.52514,0.01994
0.00399,0.08856,0.66231,0.67771,0.54338,0.54061,0.53112,0.52722,0.01995
0.00399,0.06473,0.69993,0.72765,0.60243,0.53419,0.53736,0.48161,0.01995
0.00409,0.05925,0.63402,0.74287,0.53113,0.5248,0.54364,0.4622,0.01995
0.01566,0.05915,0.69277,0.77391,0.53994,0.47153,0.47784,0.71102,0.01795
0,0.01562,0.33761,0.18446,0.12501,0.13755,0.12497,0.10935,0.00598
0,0.01562,0.34539,0.18746,0.15618,0.12501,0.14063,0.12169,0.00543
0,0.01562,0.3216,0.19974,0.125,0.12493,0.12497,0.13137,0
0,0.01562,0.46503,0.25327,0.14056,0.13739,0.13761,0.11547,0
0,0.01562,0.35621,0.19936,0.20002,0.12497,0.12497,0.10934,0.01562
0,0.01562,0.40301,0.19082,0.14063,0.13731,0.15006,0.12207,0
0,0.01562,0.32525,0.1997,0.13731,0.11571,0.1406,0.16851,0.01562
0,0.01562,0.4043,0.20102,0.12496,0.17924,0.12501,0.12496,0
0,0.01563,0.30689,0.18746,0.14059,0.11344,0.14056,0.12494,0.01562
0,0.03099,0.38703,0.20523,0.14059,0.12497,0.12501,0.10939,0
0.01562,0.09977,1.14244,1.47808,1.05583,0.98085,1.01444,0.9746,0.02644
0,0.1103,1.23666,1.76186,1.31803,1.21204,1.30279,1.20594,0.03146
0.01562,0.10368,1.19346,1.66975,1.16816,1.10564,1.00903,1.08941,0.02179
0,0.12391,1.31491,1.55858,1.1002,0.98366,1.28256,0.96867,0.02394
0.01563,0.10935,1.27386,1.31504,1.00828,0.99373,1.14978,0.99323,0.02394
0,0.10817,1.09789,1.74368,1.1403,1.12146,1.03055,1.06272,0.02393
0.01557,0.10935,1.31387,1.42156,1.06287,1.07132,1.07104,0.99617,0.03491
0,0.11009,1.11237,1.27064,0.95815,1.12161,1.02462,1.13073,0.02749
0.01562,0.13732,1.28048,1.54188,1.22465,0.99644,1.29009,0.92791,0.02792
0,0.10934,1.14754,1.67707,1.11156,1.2683,1.1748,2.7847,0.02892
0,0.01562,0.35234,0.23561,0.15043,0.16882,0.24329,0.15306,0.00798
0,0.03124,0.32805,0.2483,0.17188,0.16113,0.15737,0.15617,0.00798
0,0.01562,0.38406,0.29374,0.15312,0.1465,0.16466,0.15336,0.00798
0,0.01814,0.33447,0.23432,0.16244,0.16607,0.15617,0.14056,0.00598
0,0.03124,0.38737,0.24994,0.14558,0.1574,0.17183,0.15303,0.00898
0,0.01562,0.32472,0.24952,0.17184,0.14059,0.16854,0.15626,0.00798
0,0.01562,0.37279,0.24622,0.15621,0.20004,0.1656,0.17179,0.00598
0,0.01562,0.3093,0.2187,0.19732,0.1718,0.16849,0.18427,0.00599
0,0.01562,0.36556,0.23432,0.16867,0.15307,0.16885,0.16808,0.00698
0,0.01562,0.31437,0.20308,0.16798,0.14063,0.17184,0.15621,0.04089
0,0.01562,0.06245,0.02601,0.01562,0.02498,0.01562,0,0.00299
0,0,0.03124,0.00437,0,0.00343,0,0,0.002
0.01567,0.07811,0.73676,0.3389,0.23436,0.23814,0.24676,0.24681,0.03191
0,0,0.01562,0,0,0,0.01562,0,0.00299
0,0,0,0,0.01562,0,0,0,0.00299
0,0.01827,0.01562,0,0,0,0,0,0.002
0,0.01097,0.03128,0,0,0.01562,0,0.01562,0.00299
0,0.00211,0.01563,0.01562,0,0,0,0,0.00199
0,0.06249,1.89389,0.81198,0.68842,0.71236,0.73765,0.68134,0.02394
0,0.0855,1.71166,0.74689,0.72796,0.78095,0.81852,0.74369,0.02094
0,0.04998,1.83326,0.71197,0.67168,0.71539,0.76155,0.66564,0.03291
0.01557,0.08092,1.88102,0.75588,0.69584,0.72774,0.80081,0.69931,0.01795
0.33431,4.91751,14.27253,14.88734,15.20743,13.67434,14.36869,12.87077,0.41589
0.11188,2.03283,5.46543,3.06449,3.51667,2.94677,2.85144,2.97421,0.20144
0.01562,0.11876,2.44648,2.38342,2.70355,2.51323,2.56471,2.49563,0.04203
0.01562,0.14063,2.52607,2.62359,2.53839,2.46587,2.43314,2.31778,0.05186
0.01566,0.1422,2.5224,2.51392,2.49948,2.41948,2.37729,2.59156,0.05186
0.02296,0.113,2.47367,2.42083,2.51508,2.37232,2.55855,2.29853,0.04189
0.00315,0.1373,2.85948,2.54541,2.67108,2.58568,2.49142,2.51362,0.04089
0.01563,0.14059,2.59928,2.45248,2.54292,2.39633,2.47686,2.30286,0.03989
0.01562,0.1406,2.61357,2.41901,2.50814,2.47885,2.43962,2.34407,0.03989
0.02579,0.12497,2.65103,2.42386,2.70464,2.51816,2.60272,2.40238,0.04089
0.01486,0.14059,2.59684,2.44844,2.59992,2.42786,3.37738,2.25216,0.05786
0.00718,0.13752,2.55045,2.42471,2.38056,2.31772,2.81409,5.29727,0.04489
0.06509,0.36838,5.46003,5.24934,5.40062,5.04251,4.88461,4.94507,0.0738
0.03249,0.39403,5.25383,5.40604,5.4953,5.14534,5.65305,4.93818,0.08776
0.05124,0.39968,5.18347,5.34399,5.27649,5.21157,5.32515,5.04035,0.08178
0.03979,0.3872,5.1078,5.55111,4.92312,5.07454,5.57183,5.1994,0.07777
0.03989,0.33237,5.31098,5.63572,5.00365,5.44592,5.48138,4.97447,0.08377
0.04292,0.3902,5.28109,5.19842,5.75494,5.55336,4.89035,4.91764,0.08106
0.06084,0.4,5.35816,5.69078,5.49,5.26108,5.09587,4.85955,0.07431
0.05685,0.34977,5.29715,5.7264,5.41131,4.87853,5.3999,5.32197,0.07811
0.0451,0.3563,5.30086,5.21608,5.68693,5.30325,5.38458,8.7924,0.07811
0.04274,0.39669,5.2438,12.91044,5.8501,5.29092,5.17145,14.01647,0.10117
0.11497,1.08955,34.94595,39.38773,18.0996,16.92923,37.40137,36.43748,0.17184
0.09377,0.89025,36.62139,38.26673,41.9856,39.83241,37.67569,15.82055,0.18902
0.0866,0.99686,37.97662,18.04606,45.88842,38.8543,36.5445,38.44809,0.20706
0.10935,0.7533,17.59498,40.18928,40.02556,37.28192,16.30709,39.28587,0.18603
0.09377,1.02806,35.62853,46.45064,40.5313,37.93374,40.31427,38.7542,0.18746
0.09372,1.01245,36.50001,49.86738,39.78458,38.44505,38.58724,39.39753,0.19753
0.10622,0.87195,36.99235,42.78234,42.16442,38.03054,38.58936,38.48764,0.1962
0.12497,1.01249,37.15769,41.64612,39.5058,37.76553,40.85568,39.89839,0.17833
0.1063,0.76544,16.57675,41.40247,18.46567,17.55968,39.52313,40.18799,0.18746
0.09369,0.9498,36.57293,40.97639,40.44387,39.92211,39.98097,17.77361,0.18746
0.23958,2.42763,1.54203,1.5925,1.59255,1.58008,1.5298,1.64042,0.34215
0.22754,2.37854,1.47134,1.64726,1.52747,1.52696,1.48496,1.65868,0.31599
0.20941,2.0493,1.57473,1.61442,1.69918,1.58068,1.55218,1.70125,0.40294
0.22379,2.04741,1.53261,1.63347,1.62767,1.5159,1.55509,1.63167,0.35181
0.21662,1.88882,1.52635,1.56625,1.62037,1.6148,1.54647,1.73473,0.3721
0.24672,1.97074,1.46418,1.59358,1.60697,1.57034,1.55163,1.93599,0.35081
0.22885,2.25136,1.49081,1.63338,1.56517,1.53198,1.56229,1.9052,0.32244
0.32638,2.13928,1.56105,1.57377,1.56396,1.56828,1.49186,1.80701,0.41602
0.23432,2.28332,1.5419,1.55156,1.56174,1.57761,1.56286,1.64822,0.31975
0.23615,2.08799,1.53324,1.56315,1.56129,1.59565,1.5164,2.0136,0.21589
